AAcomp_A,AAcomp_R,AAcomp_N,AAcomp_D,AAcomp_C,AAcomp_Q,AAcomp_E,AAcomp_G,AAcomp_H,AAcomp_I,AAcomp_L,AAcomp_K,AAcomp_M,AAcomp_F,AAcomp_P,AAcomp_S,AAcomp_T,AAcomp_W,AAcomp_Y,AAcomp_V,AAindex_ARGP820101_avg,AAindex_BULH740101_avg,AAindex_CHAM820102_avg,AAindex_CIDH920105_avg,AAindex_EISD840101_avg,AAindex_EISD860101_avg,AAindex_EISD860102_avg,AAindex_EISD860103_avg,AAindex_FAUJ830101_avg,AAindex_GOLD730101_avg,AAindex_GUYH850101_avg,AAindex_HOPT810101_avg,AAindex_JANJ790102_avg,AAindex_JOND750101_avg,AAindex_KYTJ820101_avg,AAindex_LAWE840101_avg,AAindex_LEVM760101_avg,AAindex_MANP780101_avg,AAindex_MIYS850101_avg,AAindex_NOZY710101_avg,AAindex_OOBM770101_avg,AAindex_OOBM770102_avg,AAindex_OOBM770103_avg,AAindex_OOBM770104_avg,AAindex_OOBM770105_avg,AAindex_OOBM850103_avg,AAindex_OOBM850104_avg,AAindex_PONP800101_avg,AAindex_PONP800102_avg,AAindex_PONP800103_avg,AAindex_PRAM900101_avg,AAindex_RADA880101_avg,AAindex_RADA880102_avg,AAindex_RADA880103_avg,AAindex_RADA880104_avg,AAindex_RADA880105_avg,AAindex_ROBB790101_avg,AAindex_ROSM880101_avg,AAindex_ROSM880102_avg,AAindex_SIMZ760101_avg,AAindex_SWER830101_avg,AAindex_VHEG790101_avg,AAindex_WERD780102_avg,AAindex_WERD780103_avg,AAindex_WERD780104_avg,AAindex_YUTK870101_avg,AAindex_YUTK870102_avg,AAindex_YUTK870103_avg,AAindex_YUTK870104_avg,AAindex_ZIMJ680101_avg,AAindex_PONP930101_avg,AAindex_WILM950101_avg,AAindex_WILM950102_avg,AAindex_WILM950103_avg,AAindex_WILM950104_avg,AAindex_KUHL950101_avg,AAindex_JURD980101_avg,AAindex_WOLR790101_avg,AAindex_KIDA850101_avg,AAindex_COWR900101_avg,AAindex_BLAS910101_avg,AAindex_CASG920101_avg,AAindex_ENGD860101_avg,AAindex_FASG890101_avg,class
0.381,0.1497,0.2085,0.1687,0,0.2214,0.247,0.2401,0,0.4031,0.7066,0.2797,0.2339,0.2992,0.2267,0.3497,0.3591,0.1176,0.4703,0.3523,0.7621,0.1242,0.6077,0.4914,0.789,0.8558,0.2828,0.7656,0.7711,0.7743,0.1488,0.1644,0.7487,0.762,0.8217,0.8409,0.1998,0.4661,0.8185,0.876,0.1966,0.2681,0.4669,0.2389,0.3277,0.4488,0.1622,0.4953,0.8083,0.821,0.1589,0.4492,0.8471,0.4388,0.48,0.7212,0.741,0.207,0.5501,0.4966,0.9244,0.1479,0.2515,0.6335,0.7162,0.782,0.7891,0.6566,0.8598,0.4527,0.8076,0.7848,0.8504,0.4771,0.4136,0.2339,0.8257,0.7949,0.2448,0.7563,0.8289,0.7604,0.1587,0.2366,F
0.381,0.3014,0.1639,0.4703,0.1116,0.2273,0.2294,0.376,0.2159,0.3538,0.4388,0.2436,0.1532,0.2992,0.3201,0.3113,0.3893,0.2187,0.3642,0.2728,0.6222,0.4378,0.4887,0.5749,0.483,0.4792,0.3644,0.5194,0.5407,0.5934,0.4521,0.3834,0.5713,0.495,0.5153,0.6529,0.3838,0.4661,0.5234,0.5179,0.4138,0.4349,0.4669,0.3713,0.4253,0.4488,0.5043,0.4953,0.5067,0.5583,0.4278,0.5122,0.5067,0.4974,0.5592,0.6045,0.501,0.45,0.4685,0.4966,0.5872,0.4927,0.3356,0.4157,0.4844,0.5215,0.5518,0.6879,0.6939,0.5792,0.5471,0.5225,0.6162,0.5336,0.4051,0.476,0.5072,0.5411,0.4245,0.4487,0.541,0.5697,0.4276,0.4524,C
0.2475,0.3215,0.2711,0.4117,0.1117,0.2214,0.4459,0.225,0.2949,0.3935,0.3971,0.3071,0.1931,0.3908,0.2267,0.2523,0.5082,0.0344,0.3443,0.2293,0.5348,0.4793,0.565,0.4914,0.4246,0.4596,0.4997,0.4625,0.4327,0.5085,0.4854,0.4976,0.4606,0.495,0.4086,0.5033,0.5134,0.4362,0.4749,0.532,0.5377,0.5846,0.5067,0.3183,0.3031,0.4488,0.5276,0.4953,0.5067,0.4679,0.5651,0.3779,0.5189,0.3309,0.4051,0.4225,0.5366,0.5989,0.5501,0.5675,0.5412,0.595,0.3651,0.5027,0.439,0.5251,0.4986,0.6566,0.6656,0.549,0.5118,0.4811,0.5603,0.5537,0.4136,0.6274,0.4132,0.3865,0.5709,0.4041,0.4066,0.4872,0.5648,0.5211,F
0.381,0.2136,0.3504,0.2407,0.1399,0.3589,0.3523,0.376,0.1421,0.2465,0.5251,0.3633,0.1008,0.3497,0.2896,0.3218,0.4025,0.2878,0.3042,0.2393,0.5268,0.5271,0.4398,0.4726,0.4601,0.5109,0.4018,0.4608,0.4746,0.5624,0.4928,0.4275,0.473,0.5276,0.4188,0.58,0.438,0.4661,0.4455,0.5179,0.5183,0.4869,0.4669,0.3782,0.3629,0.4253,0.3856,0.4199,0.4336,0.449,0.4854,0.4644,0.532,0.4103,0.48,0.4694,0.499,0.5163,0.5501,0.4966,0.5198,0.5351,0.4245,0.5477,0.4654,0.4697,0.5841,0.7702,0.7719,0.4708,0.4446,0.4446,0.5321,0.4771,0.5053,0.533,0.4245,0.4924,0.5153,0.4319,0.4783,0.4625,0.485,0.5278,C
0.381,0.5831,0.0773,0.5257,0.0891,0.1143,0.3584,0.5891,0.2715,0.3118,0.2921,0.1225,0.2339,0.297,0.3522,0.1398,0.1748,0.2062,0.3042,0.3659,0.5115,0.6195,0.258,0.4914,0.4934,0.4342,0.4297,0.5168,0.4405,0.4263,0.4928,0.4667,0.5402,0.495,0.4985,0.5633,0.4657,0.4748,0.4746,0.5179,0.3486,0.3189,0.4038,0.5587,0.6997,0.4575,0.6786,0.513,0.5275,0.5428,0.4857,0.45,0.4405,0.4974,0.5441,0.535,0.4709,0.4646,0.5501,0.4865,0.4695,0.6014,0.3651,0.3459,0.546,0.3124,0.3034,0.4191,0.4287,0.4324,0.5369,0.3768,0.566,0.4771,0.1638,0.4958,0.4596,0.5587,0.4382,0.49,0.4552,0.5818,0.4855,0.4934,F
0.4209,0.41,0.1647,0.462,0.0854,0.274,0.4304,0.3049,0.3182,0.184,0.5441,0.1436,0.2339,0.2992,0.2251,0.1966,0.3129,0.1758,0.2634,0.3146,0.5121,0.5271,0.5195,0.5125,0.4801,0.4792,0.4344,0.4776,0.485,0.473,0.4928,0.4464,0.5402,0.5127,0.4666,0.5336,0.4541,0.4661,0.4746,0.5713,0.4377,0.4542,0.4669,0.3154,0.3348,0.4146,0.62,0.4953,0.5247,0.5332,0.5196,0.4259,0.5067,0.4974,0.4774,0.535,0.501,0.5239,0.5356,0.5399,0.5376,0.5668,0.3651,0.4434,0.4431,0.4671,0.4899,0.5862,0.5858,0.4527,0.5306,0.5184,0.5321,0.4459,0.4136,0.5844,0.4589,0.4557,0.4738,0.4487,0.4392,0.5301,0.5192,0.4563,C
0.381,0.1175,0.5604,0.5384,0.1116,0.1459,0.3294,0.5124,0.1338,0.2952,0.2778,0.4333,0.2329,0.2992,0.1352,0.2929,0.4038,0.1477,0.4059,0.2764,0.3977,0.5989,0.5487,0.378,0.483,0.3896,0.3917,0.4625,0.3119,0.4201,0.5571,0.5281,0.4052,0.3989,0.308,0.3828,0.5576,0.3146,0.343,0.4618,0.6123,0.5437,0.4669,0.4945,0.4728,0.4845,0.5408,0.3338,0.3275,0.3255,0.5934,0.363,0.5035,0.4545,0.436,0.535,0.4059,0.641,0.6905,0.4091,0.44,0.5351,0.6499,0.6804,0.3947,0.482,0.4936,0.8445,0.8538,0.4527,0.3545,0.3945,0.3399,0.4133,0.4723,0.6329,0.4614,0.4152,0.6229,0.3116,0.3558,0.3915,0.5932,0.6314,F
0.2969,0.3312,0.2601,0.4563,0.1116,0.3608,0.3643,0.3187,0.4,0.3304,0.4318,0.0774,0.1216,0.4219,0.2541,0.2118,0.3531,0.1735,0.1734,0.3146,0.5103,0.4886,0.4822,0.4914,0.5327,0.523,0.3302,0.4625,0.5313,0.4837,0.3937,0.3778,0.6294,0.5107,0.496,0.5358,0.3809,0.5291,0.4746,0.5727,0.4007,0.4558,0.4669,0.3118,0.3498,0.4488,0.6102,0.4953,0.5793,0.5871,0.456,0.4492,0.5067,0.4389,0.5033,0.5405,0.501,0.5022,0.4922,0.5235,0.545,0.5101,0.3651,0.4912,0.4919,0.5228,0.5444,0.6616,0.6678,0.4745,0.5118,0.5548,0.6432,0.5755,0.4136,0.5212,0.4955,0.4924,0.4475,0.5072,0.4501,0.5934,0.4556,0.4024,C
0.19,0.3141,0.2775,0.5309,0,0.3079,0.0648,0.6045,0.3657,0.3524,0.1835,0.33,0.2594,0.2,0.2033,0.3497,0.4709,0.3703,0.3042,0.3146,0.4827,0.5738,0.606,0.4914,0.483,0.4477,0.4565,0.2555,0.3767,0.4954,0.6221,0.4114,0.3971,0.4838,0.245,0.5633,0.4388,0.2858,0.3607,0.5179,0.4424,0.712,0.4669,0.3158,0.3822,0.4488,0.6693,0.4953,0.3656,0.3754,0.5517,0.3396,0.5569,0.2951,0.3942,0.4046,0.5355,0.6194,0.7258,0.5147,0.5087,0.5351,0.4398,0.4406,0.4063,0.3469,0.4085,0.6561,0.6607,0.4527,0.5118,0.3457,0.3243,0.4771,0.263,0.6377,0.4614,0.3474,0.5658,0.2729,0.4069,0.4912,0.5513,0.6226,F
0.3299,0.2131,0.2085,0.2593,0.0391,0.1838,0.3796,0.3609,0.4896,0.4513,0.2694,0.3821,0.1971,0.3257,0.1912,0.3497,0.3168,0.0201,0.3042,0.2607,0.4954,0.5271,0.4019,0.4769,0.4535,0.4792,0.4025,0.378,0.392,0.4435,0.5083,0.4771,0.4776,0.4765,0.4034,0.4598,0.5037,0.4661,0.4165,0.5179,0.5135,0.4661,0.4669,0.4538,0.4494,0.4824,0.4766,0.4953,0.5067,0.4336,0.5119,0.4255,0.5263,0.4336,0.4112,0.4435,0.4931,0.5582,0.5501,0.4932,0.4856,0.5176,0.3651,0.5188,0.4878,0.5175,0.5332,0.7797,0.7837,0.4527,0.4589,0.356,0.5321,0.5468,0.4136,0.5583,0.4614,0.4924,0.5826,0.3141,0.3966,0.4962,0.5117,0.5701,F
